,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit345.qasm,46,92,0.6888404130879198,1,0
circuit526.qasm,42,94,0.07322330470336391,0,0
circuit340.qasm,39,96,0.31250000000000044,0,0
circuit326.qasm,43,98,0.34958555994371154,0,0
circuit703.qasm,57,94,0.827665042944955,1,1
circuit425.qasm,47,94,0.25000000000000044,0,0
circuit126.qasm,52,93,0.6993813693763383,1,1
circuit772.qasm,31,98,0.1464466094067267,0,0
circuit454.qasm,55,95,0.9305679560328751,1,1
circuit393.qasm,57,96,0.7461413801125765,1,1
circuit529.qasm,59,95,0.6584708691207957,1,1
circuit733.qasm,34,93,0.12500000000000056,0,0
circuit134.qasm,56,93,0.28488952738362483,0,1
circuit181.qasm,56,96,0.8535533905932733,1,1
circuit483.qasm,44,92,0.27458161413599064,0,0
circuit985.qasm,58,94,0.7651650429449547,1,1
circuit944.qasm,44,96,0.3400211661552938,0,0
circuit998.qasm,48,96,0.3719265759202986,0,0
circuit287.qasm,48,91,0.7156765759202981,1,0
circuit148.qasm,43,94,0.20312500000000072,0,0
circuit119.qasm,44,96,0.2919733047033635,0,0
circuit510.qasm,52,99,0.31138956543960217,0,1
circuit224.qasm,40,93,0.294424152351682,0,0
circuit608.qasm,46,97,0.3803616523516819,0,0
circuit009.qasm,37,96,0.1982233047033637,0,0
circuit971.qasm,39,98,0.25000000000000067,0,0
circuit890.qasm,50,95,0.7842560649285166,1,0
circuit306.qasm,47,97,0.6375515759202983,1,0
circuit726.qasm,54,96,0.3346307664876721,0,1
circuit697.qasm,46,95,0.3232233047033636,0,0
circuit741.qasm,40,96,0.15291869631880656,0,0
circuit155.qasm,57,94,0.6182099487954539,1,1
circuit601.qasm,61,91,0.7133883476483176,1,1
circuit004.qasm,49,98,0.6767766952966366,1,0
circuit640.qasm,47,93,0.6271216981404102,1,0
circuit869.qasm,52,94,0.6767766952966365,1,1
circuit321.qasm,50,95,0.6194757282719799,1,0
circuit339.qasm,36,97,0.10983495705504537,0,0
circuit197.qasm,48,93,0.7180222988241589,1,0
circuit212.qasm,54,98,0.7163492924096972,1,1
circuit824.qasm,37,94,0.25000000000000067,0,0
circuit417.qasm,59,95,0.6118258476483184,1,1
circuit871.qasm,52,97,0.6767766952966368,1,1
circuit718.qasm,35,98,0.3415291308792039,0,0
circuit499.qasm,60,92,0.9523398041922779,1,1
circuit017.qasm,35,92,0.17233495705504537,0,0
circuit318.qasm,61,94,0.7209708691207957,1,1
circuit018.qasm,55,93,0.35747936963188054,0,1
circuit038.qasm,52,96,0.3943831319696847,0,1
circuit789.qasm,60,98,0.6778184500097124,1,1
circuit394.qasm,43,98,0.38177146759962677,0,0
circuit899.qasm,48,96,0.3308058261758411,0,0
circuit201.qasm,51,93,0.7271177172801987,1,1
circuit435.qasm,53,97,0.6876626193763378,1,1
circuit591.qasm,43,95,0.6045685649285174,1,0
circuit078.qasm,67,97,0.8383883476483178,1,1
circuit121.qasm,54,92,0.3887293696318808,0,1
circuit580.qasm,38,94,0.12081614135990115,0,0
circuit651.qasm,50,96,0.6767766952966366,1,0
circuit752.qasm,47,94,0.25000000000000033,0,0
circuit308.qasm,62,94,0.6767766952966368,1,1
circuit548.qasm,46,92,0.20312500000000078,0,0
circuit180.qasm,52,98,0.6127736628323779,1,1
circuit564.qasm,47,97,0.25070388611955263,0,0
circuit406.qasm,54,100,0.8330266952966363,1,1
circuit256.qasm,68,96,0.9640388251536707,1,1
circuit072.qasm,45,93,0.3750000000000003,0,0
circuit908.qasm,32,98,0.25000000000000017,0,0
circuit165.qasm,41,96,0.6169575214724774,1,0
circuit630.qasm,44,92,0.713388347648318,1,0
circuit368.qasm,45,95,0.6559530854422786,1,0
circuit626.qasm,57,97,0.8090339780164373,1,1
circuit447.qasm,64,96,0.6996589780164375,1,1
circuit137.qasm,39,95,0.24463834764831893,0,0
circuit642.qasm,51,96,0.625,1,1
circuit978.qasm,54,98,0.6142766952966365,1,1
circuit409.qasm,53,95,0.3140367120398509,0,1
circuit996.qasm,35,95,0.32322330470336325,0,0
circuit358.qasm,35,99,0.3024666308792043,0,0
circuit398.qasm,49,97,0.6011699020961392,1,0
circuit276.qasm,55,97,0.3750000000000003,0,1
circuit125.qasm,36,93,0.1418701528627665,0,0
circuit736.qasm,46,94,0.27288228271980136,0,0
circuit917.qasm,61,90,0.7667354345603977,1,1
circuit486.qasm,56,96,0.6767766952966365,1,1
circuit787.qasm,54,99,0.7507851958077207,1,1
circuit543.qasm,58,96,0.6638325214724774,1,1
circuit624.qasm,60,98,0.7522208691207958,1,1
circuit003.qasm,59,94,0.7499999999999994,1,1
circuit959.qasm,52,97,0.37820344734950195,0,1
circuit832.qasm,52,97,0.635263347648318,1,1
circuit771.qasm,58,98,0.6489723898581565,1,1
circuit527.qasm,52,97,0.736270630368119,1,1
circuit022.qasm,37,92,0.32322330470336336,0,0
circuit095.qasm,59,97,0.669194173824159,1,1
circuit250.qasm,46,92,0.25000000000000044,0,0
circuit735.qasm,47,94,0.32188289161544276,0,0
circuit776.qasm,42,94,0.35865716334346287,0,0
circuit982.qasm,48,95,0.37120873926376163,0,0
circuit864.qasm,51,91,0.3553537607362391,0,1
