,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit345.qasm,39,99,0.6888404130879198,1,0
circuit526.qasm,42,100,0.07322330470336391,0,0
circuit340.qasm,54,100,0.31250000000000044,0,1
circuit326.qasm,53,99,0.34958555994371154,0,1
circuit703.qasm,60,100,0.827665042944955,1,1
circuit425.qasm,50,99,0.25000000000000044,0,0
circuit126.qasm,48,98,0.6993813693763383,1,0
circuit772.qasm,44,100,0.1464466094067267,0,0
circuit454.qasm,59,100,0.9305679560328751,1,1
circuit393.qasm,56,99,0.7461413801125765,1,1
circuit529.qasm,57,100,0.6584708691207957,1,1
circuit733.qasm,46,100,0.12500000000000056,0,0
circuit134.qasm,48,100,0.28488952738362483,0,0
circuit181.qasm,46,99,0.8535533905932733,1,0
circuit483.qasm,52,100,0.27458161413599064,0,1
circuit985.qasm,49,98,0.7651650429449547,1,0
circuit944.qasm,53,100,0.3400211661552938,0,1
circuit998.qasm,40,99,0.3719265759202986,0,0
circuit287.qasm,46,98,0.7156765759202981,1,0
circuit148.qasm,42,98,0.20312500000000072,0,0
circuit119.qasm,45,100,0.2919733047033635,0,0
circuit510.qasm,44,100,0.31138956543960217,0,0
circuit224.qasm,51,100,0.294424152351682,0,1
circuit608.qasm,51,100,0.3803616523516819,0,1
circuit009.qasm,48,99,0.1982233047033637,0,0
circuit971.qasm,49,100,0.25000000000000067,0,0
circuit890.qasm,62,100,0.7842560649285166,1,1
circuit306.qasm,61,100,0.6375515759202983,1,1
circuit726.qasm,54,100,0.3346307664876721,0,1
circuit697.qasm,61,99,0.3232233047033636,0,1
circuit741.qasm,47,100,0.15291869631880656,0,0
circuit155.qasm,50,98,0.6182099487954539,1,0
circuit601.qasm,50,100,0.7133883476483176,1,0
circuit004.qasm,55,99,0.6767766952966366,1,1
circuit640.qasm,47,100,0.6271216981404102,1,0
circuit869.qasm,55,100,0.6767766952966365,1,1
circuit321.qasm,48,100,0.6194757282719799,1,0
circuit339.qasm,46,99,0.10983495705504537,0,0
circuit197.qasm,51,99,0.7180222988241589,1,1
circuit212.qasm,46,99,0.7163492924096972,1,0
circuit824.qasm,43,100,0.25000000000000067,0,0
circuit417.qasm,52,99,0.6118258476483184,1,1
circuit871.qasm,45,100,0.6767766952966368,1,0
circuit718.qasm,52,100,0.3415291308792039,0,1
circuit499.qasm,48,99,0.9523398041922779,1,0
circuit017.qasm,51,99,0.17233495705504537,0,1
circuit318.qasm,56,100,0.7209708691207957,1,1
circuit018.qasm,51,100,0.35747936963188054,0,1
circuit038.qasm,61,100,0.3943831319696847,0,1
circuit789.qasm,47,100,0.6778184500097124,1,0
circuit394.qasm,56,100,0.38177146759962677,0,1
circuit899.qasm,40,100,0.3308058261758411,0,0
circuit201.qasm,52,100,0.7271177172801987,1,1
circuit435.qasm,57,100,0.6876626193763378,1,1
circuit591.qasm,56,100,0.6045685649285174,1,1
circuit078.qasm,53,100,0.8383883476483178,1,1
circuit121.qasm,52,100,0.3887293696318808,0,1
circuit580.qasm,48,100,0.12081614135990115,0,0
circuit651.qasm,46,100,0.6767766952966366,1,0
circuit752.qasm,48,100,0.25000000000000033,0,0
circuit308.qasm,48,100,0.6767766952966368,1,0
circuit548.qasm,48,98,0.20312500000000078,0,0
circuit180.qasm,42,100,0.6127736628323779,1,0
circuit564.qasm,39,100,0.25070388611955263,0,0
circuit406.qasm,52,100,0.8330266952966363,1,1
circuit256.qasm,48,99,0.9640388251536707,1,0
circuit072.qasm,53,100,0.3750000000000003,0,1
circuit908.qasm,51,100,0.25000000000000017,0,1
circuit165.qasm,51,100,0.6169575214724774,1,1
circuit630.qasm,46,100,0.713388347648318,1,0
circuit368.qasm,51,100,0.6559530854422786,1,1
circuit626.qasm,51,100,0.8090339780164373,1,1
circuit447.qasm,47,99,0.6996589780164375,1,0
circuit137.qasm,48,98,0.24463834764831893,0,0
circuit642.qasm,43,100,0.625,1,0
circuit978.qasm,50,99,0.6142766952966365,1,0
circuit409.qasm,49,99,0.3140367120398509,0,0
circuit996.qasm,47,100,0.32322330470336325,0,0
circuit358.qasm,61,99,0.3024666308792043,0,1
circuit398.qasm,50,100,0.6011699020961392,1,0
circuit276.qasm,47,100,0.3750000000000003,0,0
circuit125.qasm,47,100,0.1418701528627665,0,0
circuit736.qasm,45,100,0.27288228271980136,0,0
circuit917.qasm,53,100,0.7667354345603977,1,1
circuit486.qasm,49,99,0.6767766952966365,1,0
circuit787.qasm,49,99,0.7507851958077207,1,0
circuit543.qasm,44,100,0.6638325214724774,1,0
circuit624.qasm,53,99,0.7522208691207958,1,1
circuit003.qasm,41,100,0.7499999999999994,1,0
circuit959.qasm,45,100,0.37820344734950195,0,0
circuit832.qasm,47,100,0.635263347648318,1,0
circuit771.qasm,59,99,0.6489723898581565,1,1
circuit527.qasm,51,100,0.736270630368119,1,1
circuit022.qasm,44,98,0.32322330470336336,0,0
circuit095.qasm,42,100,0.669194173824159,1,0
circuit250.qasm,47,100,0.25000000000000044,0,0
circuit735.qasm,43,100,0.32188289161544276,0,0
circuit776.qasm,48,99,0.35865716334346287,0,0
circuit982.qasm,51,100,0.37120873926376163,0,1
circuit864.qasm,50,100,0.3553537607362391,0,0
