,Sampling p(meas = 1),# wrong decisions p0.01,# wrong decisions p0.05,# wrong decisions p0.08,# wrong decisions p0.11,# wrong decisions p0.15,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit000.qasm,0.3449277937115822,33.0,34.0,31.0,33.0,40.0,36.0,50.0,49.0,54.0,42.0,58.0,71.0,67.0,67.0
circuit001.qasm,0.6131662607362389,39.0,33.0,41.0,36.0,41.0,51.0,38.0,43.0,49.0,44.0,61.0,51.0,56.0,55.0
circuit003.qasm,0.7499999999999996,30.0,34.0,31.0,30.0,37.0,40.0,38.0,55.0,46.0,52.0,71.0,65.0,79.0,76.0
circuit004.qasm,0.6767766952966366,32.0,37.0,44.0,35.0,42.0,41.0,46.0,57.0,44.0,55.0,61.0,68.0,55.0,68.0
circuit006.qasm,0.9176237822087159,6.0,9.0,7.0,14.0,19.0,30.0,36.0,39.0,43.0,57.0,70.0,84.0,84.0,93.0
circuit009.qasm,0.1982233047033637,11.0,19.0,25.0,28.0,36.0,35.0,34.0,49.0,45.0,59.0,63.0,59.0,71.0,78.0
circuit011.qasm,0.6249999999999999,38.0,44.0,44.0,41.0,41.0,37.0,46.0,46.0,61.0,54.0,59.0,55.0,52.0,69.0
circuit017.qasm,0.1723349570550453,17.0,23.0,26.0,21.0,20.0,24.0,38.0,45.0,48.0,62.0,71.0,77.0,81.0,80.0
circuit018.qasm,0.3574793696318806,44.0,42.0,32.0,36.0,41.0,45.0,46.0,45.0,38.0,49.0,58.0,56.0,58.0,63.0
circuit022.qasm,0.32322330470336336,30.0,37.0,44.0,45.0,46.0,40.0,37.0,38.0,50.0,60.0,62.0,54.0,65.0,62.0
circuit026.qasm,0.190640783230886,15.0,24.0,21.0,29.0,27.0,36.0,39.0,47.0,51.0,51.0,60.0,72.0,73.0,84.0
circuit030.qasm,0.25000000000000044,22.0,23.0,27.0,31.0,32.0,37.0,38.0,41.0,43.0,54.0,62.0,63.0,66.0,66.0
circuit037.qasm,0.28661165235168196,24.0,36.0,34.0,44.0,39.0,35.0,36.0,45.0,51.0,57.0,56.0,61.0,64.0,61.0
circuit038.qasm,0.39438313196968466,41.0,37.0,40.0,48.0,41.0,39.0,40.0,42.0,34.0,59.0,48.0,56.0,58.0,55.0
circuit039.qasm,0.3071383476483189,39.0,39.0,29.0,31.0,40.0,43.0,39.0,31.0,53.0,63.0,59.0,60.0,57.0,76.0
circuit044.qasm,0.3996152937115822,36.0,39.0,35.0,47.0,41.0,48.0,48.0,54.0,49.0,49.0,65.0,60.0,60.0,55.0
circuit045.qasm,0.1528037070550451,15.0,19.0,24.0,20.0,30.0,27.0,40.0,36.0,65.0,62.0,67.0,76.0,79.0,82.0
circuit049.qasm,0.3383883476483188,30.0,46.0,36.0,38.0,40.0,40.0,41.0,44.0,49.0,43.0,53.0,54.0,62.0,72.0
circuit050.qasm,0.3857233047033629,39.0,38.0,40.0,39.0,43.0,42.0,51.0,39.0,56.0,49.0,67.0,64.0,57.0,67.0
circuit055.qasm,0.3674174785275225,32.0,51.0,35.0,35.0,36.0,37.0,41.0,62.0,54.0,41.0,54.0,61.0,58.0,71.0
circuit056.qasm,0.6379441738241589,25.0,37.0,41.0,38.0,34.0,48.0,37.0,48.0,53.0,49.0,60.0,61.0,63.0,71.0
circuit059.qasm,0.7499999999999996,33.0,37.0,41.0,38.0,36.0,32.0,41.0,48.0,42.0,51.0,70.0,65.0,75.0,71.0
