,Sampling p(meas = 1),# wrong decisions p0.5
circuit000.qasm,0.3449277937115822,43.0
circuit001.qasm,0.6131662607362389,47.0
circuit003.qasm,0.7499999999999996,27.0
circuit004.qasm,0.6767766952966366,42.0
circuit006.qasm,0.9176237822087159,23.0
circuit009.qasm,0.1982233047033637,28.0
circuit011.qasm,0.6249999999999999,35.0
circuit017.qasm,0.1723349570550453,35.0
circuit018.qasm,0.3574793696318806,42.0
circuit022.qasm,0.32322330470336336,35.0
circuit026.qasm,0.190640783230886,36.0
circuit030.qasm,0.25000000000000044,29.0
circuit037.qasm,0.28661165235168196,37.0
circuit038.qasm,0.39438313196968466,49.0
circuit039.qasm,0.3071383476483189,38.0
circuit044.qasm,0.3996152937115822,44.0
circuit045.qasm,0.1528037070550451,32.0
circuit049.qasm,0.3383883476483188,37.0
circuit050.qasm,0.3857233047033629,49.0
circuit055.qasm,0.3674174785275225,37.0
circuit056.qasm,0.6379441738241589,41.0
circuit059.qasm,0.7499999999999996,39.0
circuit060.qasm,0.3416917502555425,44.0
circuit064.qasm,0.38281250000000017,45.0
circuit067.qasm,0.6010072827198008,37.0
circuit070.qasm,0.6075050033032217,50.0
circuit071.qasm,0.33126578323088574,36.0
circuit072.qasm,0.3750000000000002,39.0
circuit073.qasm,0.32322330470336347,39.0
circuit075.qasm,0.12500000000000078,28.0
