,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit000.qasm,0.3449277937115822,33.0,31.0,45.0,40.0,45.0,42.0,32.0,44.0,47.0,46.0,55.0
circuit001.qasm,0.6131662607362389,38.0,43.0,38.0,43.0,33.0,35.0,40.0,56.0,46.0,42.0,53.0
circuit003.qasm,0.7499999999999996,30.0,33.0,34.0,27.0,43.0,35.0,39.0,34.0,45.0,49.0,49.0
circuit004.qasm,0.6767766952966366,36.0,37.0,42.0,49.0,35.0,42.0,43.0,49.0,50.0,51.0,64.0
circuit006.qasm,0.9176237822087159,9.0,15.0,15.0,22.0,33.0,28.0,33.0,41.0,40.0,44.0,47.0
circuit009.qasm,0.1982233047033637,19.0,25.0,25.0,40.0,33.0,33.0,39.0,42.0,45.0,44.0,52.0
circuit011.qasm,0.6249999999999999,39.0,39.0,37.0,48.0,33.0,48.0,54.0,55.0,43.0,52.0,48.0
circuit017.qasm,0.1723349570550453,15.0,18.0,25.0,31.0,32.0,32.0,31.0,43.0,41.0,51.0,57.0
circuit018.qasm,0.3574793696318806,35.0,36.0,31.0,44.0,41.0,38.0,45.0,47.0,56.0,48.0,54.0
circuit022.qasm,0.32322330470336336,37.0,32.0,48.0,39.0,41.0,42.0,51.0,43.0,50.0,50.0,50.0
circuit026.qasm,0.190640783230886,20.0,23.0,24.0,29.0,26.0,34.0,30.0,35.0,51.0,41.0,47.0
circuit030.qasm,0.25000000000000044,21.0,25.0,29.0,34.0,37.0,42.0,49.0,38.0,51.0,38.0,52.0
circuit037.qasm,0.28661165235168196,29.0,32.0,27.0,36.0,43.0,39.0,34.0,43.0,45.0,49.0,59.0
circuit038.qasm,0.39438313196968466,38.0,37.0,38.0,53.0,34.0,44.0,49.0,40.0,47.0,57.0,50.0
circuit039.qasm,0.3071383476483189,29.0,27.0,42.0,33.0,39.0,43.0,50.0,47.0,51.0,40.0,56.0
circuit044.qasm,0.3996152937115822,49.0,30.0,51.0,41.0,54.0,40.0,49.0,51.0,44.0,53.0,43.0
circuit045.qasm,0.1528037070550451,16.0,22.0,20.0,21.0,32.0,26.0,35.0,37.0,37.0,53.0,56.0
circuit049.qasm,0.3383883476483188,38.0,41.0,40.0,40.0,50.0,43.0,38.0,50.0,49.0,42.0,45.0
circuit050.qasm,0.3857233047033629,41.0,32.0,43.0,36.0,48.0,50.0,41.0,39.0,40.0,53.0,58.0
circuit055.qasm,0.3674174785275225,26.0,35.0,48.0,37.0,42.0,49.0,43.0,40.0,48.0,34.0,36.0
circuit056.qasm,0.6379441738241589,30.0,39.0,39.0,42.0,45.0,45.0,40.0,47.0,58.0,55.0,46.0
circuit059.qasm,0.7499999999999996,28.0,31.0,35.0,37.0,32.0,37.0,46.0,44.0,46.0,57.0,53.0
circuit060.qasm,0.3416917502555425,41.0,44.0,36.0,47.0,36.0,47.0,44.0,45.0,44.0,46.0,49.0
circuit064.qasm,0.38281250000000017,39.0,45.0,39.0,43.0,45.0,43.0,46.0,49.0,42.0,64.0,51.0
circuit067.qasm,0.6010072827198008,39.0,42.0,29.0,39.0,42.0,37.0,46.0,47.0,55.0,52.0,47.0
circuit070.qasm,0.6075050033032217,37.0,34.0,35.0,42.0,47.0,49.0,49.0,49.0,51.0,44.0,40.0
circuit071.qasm,0.33126578323088574,37.0,34.0,39.0,37.0,40.0,33.0,44.0,46.0,51.0,51.0,49.0
circuit072.qasm,0.3750000000000002,37.0,44.0,36.0,40.0,43.0,36.0,42.0,48.0,47.0,43.0,58.0
circuit073.qasm,0.32322330470336347,19.0,33.0,31.0,40.0,43.0,42.0,32.0,43.0,48.0,50.0,56.0
circuit075.qasm,0.12500000000000078,14.0,13.0,21.0,23.0,26.0,32.0,35.0,54.0,42.0,43.0,44.0
circuit077.qasm,0.32322330470336325,34.0,37.0,29.0,38.0,44.0,45.0,57.0,38.0,50.0,53.0,51.0
circuit078.qasm,0.8383883476483179,11.0,16.0,20.0,24.0,28.0,34.0,45.0,29.0,47.0,50.0,48.0
circuit080.qasm,0.7354854345603978,20.0,31.0,35.0,30.0,38.0,43.0,34.0,49.0,50.0,38.0,56.0
circuit082.qasm,0.60061468481594,44.0,41.0,40.0,44.0,47.0,38.0,43.0,49.0,46.0,55.0,43.0
circuit083.qasm,0.12500000000000078,16.0,17.0,19.0,25.0,21.0,43.0,29.0,33.0,43.0,51.0,50.0
circuit088.qasm,0.620053739104047,37.0,37.0,43.0,42.0,42.0,43.0,47.0,44.0,50.0,51.0,43.0
circuit089.qasm,0.6249999999999998,47.0,46.0,38.0,35.0,48.0,41.0,38.0,41.0,48.0,49.0,50.0
circuit093.qasm,0.3321462392637617,32.0,35.0,32.0,44.0,48.0,40.0,34.0,35.0,38.0,59.0,37.0
circuit094.qasm,0.38415291308792077,40.0,34.0,41.0,31.0,37.0,43.0,54.0,47.0,45.0,51.0,56.0
circuit095.qasm,0.669194173824159,39.0,28.0,41.0,38.0,44.0,44.0,37.0,45.0,35.0,48.0,50.0
circuit097.qasm,0.37500000000000006,41.0,39.0,45.0,37.0,35.0,42.0,39.0,44.0,49.0,48.0,50.0
circuit098.qasm,0.6369963586400991,30.0,40.0,32.0,39.0,42.0,55.0,42.0,45.0,46.0,43.0,42.0
circuit099.qasm,0.2866116523516816,28.0,35.0,25.0,29.0,37.0,34.0,34.0,49.0,53.0,50.0,44.0
circuit101.qasm,0.8276650429449548,21.0,22.0,23.0,32.0,30.0,29.0,32.0,42.0,46.0,56.0,48.0
circuit103.qasm,0.2683058261758413,27.0,26.0,37.0,40.0,36.0,40.0,32.0,35.0,51.0,53.0,48.0
