,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,100,4,0.9999999999999993,1,1
circuit842.qasm,18,2,0.14644660940672666,0,0
circuit146.qasm,0,1,6.106226635438361e-16,0,0
circuit704.qasm,20,1,0.25000000000000044,0,0
circuit984.qasm,13,2,0.14644660940672666,0,0
circuit426.qasm,82,2,0.8535533905932733,1,1
circuit190.qasm,0,0,5.551115123125783e-16,0,0
circuit871.qasm,0,2,6.661338147750939e-16,0,0
circuit188.qasm,14,3,0.1464466094067267,0,0
circuit750.qasm,0,2,2.220446049250313e-16,0,0
circuit328.qasm,88,5,0.8535533905932731,1,1
circuit275.qasm,27,3,0.2500000000000004,0,0
circuit309.qasm,22,0,0.25000000000000033,0,0
circuit513.qasm,17,4,0.2500000000000001,0,0
circuit969.qasm,1,3,2.220446049250313e-16,0,0
circuit583.qasm,82,2,0.7866116523516816,1,1
circuit483.qasm,90,0,0.8535533905932733,1,1
circuit326.qasm,90,0,0.8535533905932732,1,1
circuit319.qasm,0,0,6.106226635438361e-16,0,0
circuit278.qasm,67,3,0.6767766952966366,1,1
circuit706.qasm,1,3,7.771561172376096e-16,0,0
circuit558.qasm,85,1,0.8535533905932733,1,1
circuit358.qasm,78,3,0.8535533905932735,1,1
circuit394.qasm,0,3,2.220446049250313e-16,0,0
circuit682.qasm,92,2,0.9267766952966363,1,1
circuit035.qasm,1,0,2.220446049250313e-16,0,0
circuit503.qasm,23,4,0.2500000000000005,0,0
circuit812.qasm,21,2,0.14644660940672682,0,0
circuit934.qasm,3,1,0.02144660940672699,0,0
circuit660.qasm,0,0,7.771561172376096e-16,0,0
circuit211.qasm,88,1,0.8535533905932731,1,1
circuit540.qasm,0,1,8.326672684688674e-16,0,0
circuit359.qasm,17,1,0.14644660940672688,0,0
circuit001.qasm,85,2,0.8535533905932733,1,1
circuit115.qasm,89,3,0.8535533905932733,1,1
circuit519.qasm,72,0,0.6767766952966365,1,1
circuit978.qasm,72,1,0.7499999999999998,1,1
circuit385.qasm,78,2,0.8535533905932734,1,1
circuit782.qasm,1,1,6.661338147750939e-16,0,0
circuit822.qasm,9,0,0.14644660940672682,0,0
circuit121.qasm,77,4,0.7499999999999994,1,1
circuit091.qasm,37,2,0.3636262177912838,0,0
circuit131.qasm,90,3,0.9267766952966363,1,1
circuit062.qasm,38,6,0.375,0,0
circuit290.qasm,18,2,0.14644660940672655,0,0
circuit644.qasm,0,3,4.996003610813204e-16,0,0
circuit293.qasm,0,1,6.661338147750939e-16,0,0
circuit584.qasm,77,2,0.7499999999999999,1,1
circuit593.qasm,3,3,8.326672684688674e-16,0,0
circuit863.qasm,0,0,8.881784197001252e-16,0,0
circuit602.qasm,98,3,0.9999999999999991,1,1
circuit261.qasm,0,3,8.326672684688674e-16,0,0
circuit791.qasm,0,2,5.551115123125783e-16,0,0
circuit210.qasm,89,0,0.8535533905932731,1,1
circuit366.qasm,1,3,3.3306690738754696e-16,0,0
circuit436.qasm,89,6,0.9267766952966365,1,1
circuit000.qasm,36,5,0.32322330470336336,0,0
circuit813.qasm,83,2,0.8535533905932733,1,1
circuit604.qasm,88,2,0.8535533905932731,1,1
circuit997.qasm,70,2,0.713388347648318,1,1
circuit723.qasm,0,2,7.771561172376096e-16,0,0
circuit393.qasm,1,1,7.771561172376096e-16,0,0
circuit585.qasm,80,4,0.8535533905932732,1,1
circuit856.qasm,87,0,0.8535533905932732,1,1
circuit151.qasm,73,1,0.7499999999999996,1,1
circuit458.qasm,99,1,0.9999999999999996,1,1
circuit083.qasm,87,1,0.8535533905932733,1,1
circuit336.qasm,82,1,0.8017766952966364,1,1
circuit465.qasm,83,3,0.8535533905932733,1,1
circuit347.qasm,75,4,0.6767766952966365,1,1
circuit258.qasm,89,2,0.8901650429449548,1,1
circuit379.qasm,0,4,6.661338147750939e-16,0,0
circuit339.qasm,91,0,0.8535533905932733,1,1
circuit150.qasm,0,2,7.216449660063518e-16,0,0
circuit972.qasm,0,1,7.216449660063518e-16,0,0
circuit677.qasm,25,3,0.25000000000000056,0,0
circuit340.qasm,0,2,4.440892098500626e-16,0,0
circuit781.qasm,22,2,0.21338834764831882,0,0
circuit372.qasm,27,3,0.25000000000000033,0,0
circuit269.qasm,0,2,6.661338147750939e-16,0,0
circuit018.qasm,62,1,0.6767766952966368,1,1
circuit136.qasm,92,2,0.9267766952966363,1,1
circuit695.qasm,8,3,0.07322330470336352,0,0
circuit116.qasm,24,2,0.14644660940672666,0,0
circuit287.qasm,75,1,0.8535533905932732,1,1
circuit110.qasm,76,1,0.7499999999999996,1,1
circuit912.qasm,1,1,8.326672684688674e-16,0,0
circuit109.qasm,87,1,0.8535533905932733,1,1
circuit494.qasm,88,0,0.8535533905932733,1,1
circuit325.qasm,0,4,5.551115123125783e-16,0,0
circuit111.qasm,31,3,0.32322330470336336,0,0
circuit382.qasm,99,3,0.9999999999999993,1,1
circuit402.qasm,79,2,0.7499999999999996,1,1
circuit933.qasm,27,1,0.25000000000000067,0,0
circuit672.qasm,12,3,0.14644660940672688,0,0
circuit386.qasm,70,1,0.6767766952966368,1,1
circuit903.qasm,0,2,2.220446049250313e-16,0,0
circuit759.qasm,16,1,0.14644660940672682,0,0
circuit081.qasm,86,5,0.8535533905932733,1,1
circuit939.qasm,14,0,0.1464466094067267,0,0
