,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,97,9,0.9999999999999993,1,1
circuit842.qasm,10,9,0.14644660940672666,0,0
circuit146.qasm,1,7,6.106226635438361e-16,0,0
circuit704.qasm,26,9,0.25000000000000044,0,0
circuit984.qasm,17,7,0.14644660940672666,0,0
circuit426.qasm,79,8,0.8535533905932733,1,1
circuit190.qasm,2,14,5.551115123125783e-16,0,0
circuit871.qasm,2,9,6.661338147750939e-16,0,0
circuit188.qasm,26,10,0.1464466094067267,0,0
circuit750.qasm,4,13,2.220446049250313e-16,0,0
circuit328.qasm,84,14,0.8535533905932731,1,1
circuit275.qasm,18,8,0.2500000000000004,0,0
circuit309.qasm,28,12,0.25000000000000033,0,0
circuit513.qasm,22,9,0.2500000000000001,0,0
circuit969.qasm,1,8,2.220446049250313e-16,0,0
circuit583.qasm,79,9,0.7866116523516816,1,1
circuit483.qasm,79,12,0.8535533905932733,1,1
circuit326.qasm,83,9,0.8535533905932732,1,1
circuit319.qasm,1,12,6.106226635438361e-16,0,0
circuit278.qasm,66,5,0.6767766952966366,1,1
circuit706.qasm,5,12,7.771561172376096e-16,0,0
circuit558.qasm,76,13,0.8535533905932733,1,1
circuit358.qasm,80,13,0.8535533905932735,1,1
circuit394.qasm,6,5,2.220446049250313e-16,0,0
circuit682.qasm,95,8,0.9267766952966363,1,1
circuit035.qasm,5,8,2.220446049250313e-16,0,0
circuit503.qasm,29,12,0.2500000000000005,0,0
circuit812.qasm,12,8,0.14644660940672682,0,0
circuit934.qasm,8,12,0.02144660940672699,0,0
circuit660.qasm,1,8,7.771561172376096e-16,0,0
circuit211.qasm,84,9,0.8535533905932731,1,1
circuit540.qasm,1,10,8.326672684688674e-16,0,0
circuit359.qasm,13,9,0.14644660940672688,0,0
circuit001.qasm,77,9,0.8535533905932733,1,1
circuit115.qasm,76,10,0.8535533905932733,1,1
circuit519.qasm,77,14,0.6767766952966365,1,1
circuit978.qasm,85,8,0.7499999999999998,1,1
circuit385.qasm,85,13,0.8535533905932734,1,1
circuit782.qasm,5,8,6.661338147750939e-16,0,0
circuit822.qasm,17,10,0.14644660940672682,0,0
circuit121.qasm,75,8,0.7499999999999994,1,1
circuit091.qasm,38,7,0.3636262177912838,0,0
circuit131.qasm,89,11,0.9267766952966363,1,1
circuit062.qasm,40,12,0.375,0,0
circuit290.qasm,19,7,0.14644660940672655,0,0
circuit644.qasm,3,10,4.996003610813204e-16,0,0
circuit293.qasm,1,8,6.661338147750939e-16,0,0
circuit584.qasm,69,10,0.7499999999999999,1,1
circuit593.qasm,1,11,8.326672684688674e-16,0,0
circuit863.qasm,4,10,8.881784197001252e-16,0,0
circuit602.qasm,96,14,0.9999999999999991,1,1
circuit261.qasm,2,9,8.326672684688674e-16,0,0
circuit791.qasm,2,8,5.551115123125783e-16,0,0
circuit210.qasm,82,6,0.8535533905932731,1,1
circuit366.qasm,2,4,3.3306690738754696e-16,0,0
circuit436.qasm,92,7,0.9267766952966365,1,1
circuit000.qasm,35,7,0.32322330470336336,0,0
circuit813.qasm,89,10,0.8535533905932733,1,1
circuit604.qasm,82,10,0.8535533905932731,1,1
circuit997.qasm,67,10,0.713388347648318,1,1
circuit723.qasm,5,6,7.771561172376096e-16,0,0
circuit393.qasm,3,10,7.771561172376096e-16,0,0
circuit585.qasm,88,15,0.8535533905932732,1,1
circuit856.qasm,75,9,0.8535533905932732,1,1
circuit151.qasm,78,9,0.7499999999999996,1,1
circuit458.qasm,98,15,0.9999999999999996,1,1
circuit083.qasm,85,11,0.8535533905932733,1,1
circuit336.qasm,77,13,0.8017766952966364,1,1
circuit465.qasm,86,11,0.8535533905932733,1,1
circuit347.qasm,66,10,0.6767766952966365,1,1
circuit258.qasm,86,7,0.8901650429449548,1,1
circuit379.qasm,3,6,6.661338147750939e-16,0,0
circuit339.qasm,86,12,0.8535533905932733,1,1
circuit150.qasm,3,14,7.216449660063518e-16,0,0
circuit972.qasm,1,14,7.216449660063518e-16,0,0
circuit677.qasm,29,6,0.25000000000000056,0,0
circuit340.qasm,5,9,4.440892098500626e-16,0,0
circuit781.qasm,21,9,0.21338834764831882,0,0
circuit372.qasm,35,5,0.25000000000000033,0,0
circuit269.qasm,3,12,6.661338147750939e-16,0,0
circuit018.qasm,73,13,0.6767766952966368,1,1
circuit136.qasm,87,10,0.9267766952966363,1,1
circuit695.qasm,8,16,0.07322330470336352,0,0
circuit116.qasm,15,8,0.14644660940672666,0,0
circuit287.qasm,83,5,0.8535533905932732,1,1
circuit110.qasm,74,4,0.7499999999999996,1,1
circuit912.qasm,1,10,8.326672684688674e-16,0,0
circuit109.qasm,80,8,0.8535533905932733,1,1
circuit494.qasm,84,11,0.8535533905932733,1,1
circuit325.qasm,6,7,5.551115123125783e-16,0,0
circuit111.qasm,36,9,0.32322330470336336,0,0
circuit382.qasm,98,10,0.9999999999999993,1,1
circuit402.qasm,73,8,0.7499999999999996,1,1
circuit933.qasm,29,10,0.25000000000000067,0,0
circuit672.qasm,16,11,0.14644660940672688,0,0
circuit386.qasm,63,6,0.6767766952966368,1,1
circuit903.qasm,4,11,2.220446049250313e-16,0,0
circuit759.qasm,10,11,0.14644660940672682,0,0
circuit081.qasm,82,10,0.8535533905932733,1,1
circuit939.qasm,18,12,0.1464466094067267,0,0
