,Sampling p(meas = 1),# wrong decisions p0.0005,# wrong decisions p0.001,# wrong decisions p0.0025,# wrong decisions p0.004,# wrong decisions p0.005,# wrong decisions p0.006,# wrong decisions p0.01,# wrong decisions p0.03,# wrong decisions p0.075
circuit908.qasm,0.9999999999999993,6.0,8.0,22.0,22.0,24.0,36.0,44.0,52.0,46.0
circuit842.qasm,0.14644660940672666,14.0,16.0,24.0,25.0,32.0,28.0,36.0,51.0,54.0
circuit146.qasm,6.106226635438361e-16,3.0,5.0,14.0,10.0,19.0,33.0,44.0,43.0,50.0
circuit704.qasm,0.25000000000000044,25.0,18.0,21.0,34.0,35.0,58.0,53.0,61.0,46.0
circuit984.qasm,0.14644660940672666,18.0,16.0,25.0,29.0,29.0,41.0,38.0,53.0,39.0
circuit426.qasm,0.8535533905932733,19.0,19.0,19.0,20.0,30.0,37.0,33.0,54.0,51.0
circuit190.qasm,5.551115123125783e-16,3.0,9.0,11.0,18.0,25.0,13.0,42.0,47.0,52.0
circuit871.qasm,6.661338147750939e-16,5.0,9.0,20.0,23.0,30.0,36.0,41.0,47.0,47.0
circuit188.qasm,0.1464466094067267,17.0,22.0,23.0,30.0,34.0,31.0,48.0,50.0,47.0
circuit750.qasm,2.220446049250313e-16,2.0,8.0,17.0,11.0,24.0,32.0,41.0,46.0,49.0
circuit328.qasm,0.8535533905932731,21.0,20.0,23.0,23.0,32.0,35.0,37.0,52.0,46.0
circuit275.qasm,0.2500000000000004,30.0,30.0,28.0,32.0,32.0,41.0,44.0,49.0,57.0
circuit309.qasm,0.25000000000000033,24.0,25.0,37.0,39.0,35.0,29.0,37.0,48.0,53.0
circuit513.qasm,0.2500000000000001,27.0,28.0,34.0,34.0,34.0,37.0,50.0,45.0,58.0
circuit969.qasm,2.220446049250313e-16,2.0,3.0,17.0,21.0,22.0,22.0,38.0,50.0,43.0
circuit583.qasm,0.7866116523516816,17.0,16.0,27.0,41.0,38.0,46.0,38.0,59.0,48.0
circuit483.qasm,0.8535533905932733,23.0,21.0,36.0,32.0,34.0,46.0,38.0,50.0,46.0
circuit326.qasm,0.8535533905932732,10.0,19.0,29.0,24.0,41.0,30.0,40.0,47.0,58.0
circuit319.qasm,6.106226635438361e-16,0.0,5.0,15.0,24.0,22.0,30.0,30.0,44.0,45.0
circuit278.qasm,0.6767766952966366,33.0,46.0,53.0,42.0,39.0,36.0,52.0,51.0,53.0
