,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,56,93,0.9999999999999993,1,1
circuit842.qasm,36,94,0.14644660940672666,0,0
circuit146.qasm,44,96,6.106226635438361e-16,0,0
circuit704.qasm,53,95,0.25000000000000044,0,1
circuit984.qasm,38,93,0.14644660940672666,0,0
circuit426.qasm,67,95,0.8535533905932733,1,1
circuit190.qasm,42,94,5.551115123125783e-16,0,0
circuit871.qasm,41,95,6.661338147750939e-16,0,0
circuit188.qasm,48,92,0.1464466094067267,0,0
circuit750.qasm,41,96,2.220446049250313e-16,0,0
circuit328.qasm,63,97,0.8535533905932731,1,1
circuit275.qasm,44,95,0.2500000000000004,0,0
circuit309.qasm,37,95,0.25000000000000033,0,0
circuit513.qasm,50,97,0.2500000000000001,0,0
circuit969.qasm,38,96,2.220446049250313e-16,0,0
circuit583.qasm,62,97,0.7866116523516816,1,1
circuit483.qasm,62,93,0.8535533905932733,1,1
circuit326.qasm,60,95,0.8535533905932732,1,1
circuit319.qasm,30,96,6.106226635438361e-16,0,0
circuit278.qasm,48,95,0.6767766952966366,1,0
circuit706.qasm,38,95,7.771561172376096e-16,0,0
circuit558.qasm,54,93,0.8535533905932733,1,1
circuit358.qasm,49,97,0.8535533905932735,1,0
circuit394.qasm,38,98,2.220446049250313e-16,0,0
circuit682.qasm,59,98,0.9267766952966363,1,1
circuit035.qasm,36,91,2.220446049250313e-16,0,0
circuit503.qasm,46,96,0.2500000000000005,0,0
circuit812.qasm,41,92,0.14644660940672682,0,0
circuit934.qasm,35,96,0.02144660940672699,0,0
circuit660.qasm,46,96,7.771561172376096e-16,0,0
circuit211.qasm,63,94,0.8535533905932731,1,1
circuit540.qasm,39,94,8.326672684688674e-16,0,0
circuit359.qasm,39,94,0.14644660940672688,0,0
circuit001.qasm,55,97,0.8535533905932733,1,1
circuit115.qasm,56,96,0.8535533905932733,1,1
circuit519.qasm,44,95,0.6767766952966365,1,0
circuit978.qasm,49,92,0.7499999999999998,1,0
circuit385.qasm,53,96,0.8535533905932734,1,1
circuit782.qasm,41,94,6.661338147750939e-16,0,0
circuit822.qasm,45,94,0.14644660940672682,0,0
circuit121.qasm,49,94,0.7499999999999994,1,0
circuit091.qasm,48,95,0.3636262177912838,0,0
circuit131.qasm,62,96,0.9267766952966363,1,1
circuit062.qasm,46,94,0.375,0,0
circuit290.qasm,56,97,0.14644660940672655,0,1
circuit644.qasm,43,92,4.996003610813204e-16,0,0
circuit293.qasm,39,93,6.661338147750939e-16,0,0
circuit584.qasm,57,94,0.7499999999999999,1,1
circuit593.qasm,50,93,8.326672684688674e-16,0,0
circuit863.qasm,39,97,8.881784197001252e-16,0,0
circuit602.qasm,59,96,0.9999999999999991,1,1
circuit261.qasm,34,96,8.326672684688674e-16,0,0
circuit791.qasm,42,94,5.551115123125783e-16,0,0
circuit210.qasm,54,93,0.8535533905932731,1,1
circuit366.qasm,54,100,3.3306690738754696e-16,0,1
circuit436.qasm,68,98,0.9267766952966365,1,1
circuit000.qasm,50,97,0.32322330470336336,0,0
circuit813.qasm,61,95,0.8535533905932733,1,1
circuit604.qasm,52,97,0.8535533905932731,1,1
circuit997.qasm,55,97,0.713388347648318,1,1
circuit723.qasm,45,96,7.771561172376096e-16,0,0
circuit393.qasm,50,96,7.771561172376096e-16,0,0
circuit585.qasm,62,97,0.8535533905932732,1,1
circuit856.qasm,52,98,0.8535533905932732,1,1
circuit151.qasm,56,94,0.7499999999999996,1,1
circuit458.qasm,57,91,0.9999999999999996,1,1
circuit083.qasm,63,90,0.8535533905932733,1,1
circuit336.qasm,50,96,0.8017766952966364,1,0
circuit465.qasm,71,91,0.8535533905932733,1,1
circuit347.qasm,50,93,0.6767766952966365,1,0
circuit258.qasm,70,94,0.8901650429449548,1,1
circuit379.qasm,46,97,6.661338147750939e-16,0,0
circuit339.qasm,57,95,0.8535533905932733,1,1
circuit150.qasm,32,95,7.216449660063518e-16,0,0
circuit972.qasm,39,98,7.216449660063518e-16,0,0
circuit677.qasm,42,96,0.25000000000000056,0,0
circuit340.qasm,39,95,4.440892098500626e-16,0,0
circuit781.qasm,49,95,0.21338834764831882,0,0
circuit372.qasm,48,98,0.25000000000000033,0,0
circuit269.qasm,40,94,6.661338147750939e-16,0,0
circuit018.qasm,49,97,0.6767766952966368,1,0
circuit136.qasm,54,96,0.9267766952966363,1,1
circuit695.qasm,44,96,0.07322330470336352,0,0
circuit116.qasm,43,97,0.14644660940672666,0,0
circuit287.qasm,62,96,0.8535533905932732,1,1
circuit110.qasm,47,95,0.7499999999999996,1,0
circuit912.qasm,32,96,8.326672684688674e-16,0,0
circuit109.qasm,49,93,0.8535533905932733,1,0
circuit494.qasm,57,93,0.8535533905932733,1,1
circuit325.qasm,42,93,5.551115123125783e-16,0,0
circuit111.qasm,58,95,0.32322330470336336,0,1
circuit382.qasm,72,95,0.9999999999999993,1,1
circuit402.qasm,55,98,0.7499999999999996,1,1
circuit933.qasm,46,95,0.25000000000000067,0,0
circuit672.qasm,40,97,0.14644660940672688,0,0
circuit386.qasm,46,91,0.6767766952966368,1,0
circuit903.qasm,29,95,2.220446049250313e-16,0,0
circuit759.qasm,47,98,0.14644660940672682,0,0
circuit081.qasm,67,91,0.8535533905932733,1,1
circuit939.qasm,40,98,0.1464466094067267,0,0
